"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2790055,"December 30, 2023",Louisiana,"Westwego (Bridge City)","800 block of Sherry Ln",0,2,0,0,0,N/A
2793597,"December 30, 2023",Virginia,Manassas,"7253 Centreville Rd",0,1,0,0,0,N/A
2790578,"December 30, 2023","New Mexico",Albuquerque,"7817 Central Ave NE",0,1,0,1,0,N/A
2790336,"December 30, 2023",Alabama,Mobile,"2000 block of DeKruif Ct",1,0,0,0,2,N/A
2793592,"December 30, 2023",Texas,Dallas,"10000 block of Steppington Dr",1,0,1,0,0,N/A
2790766,"December 30, 2023",Wisconsin,Milwaukee,"N 37th St and W Clarke St",0,1,0,0,0,N/A
2790140,"December 30, 2023","North Carolina",Colfax,"3202 Sandy Ridge Rd",1,0,0,0,1,N/A
2790822,"December 30, 2023","New York",Poughkeepsie,"S Bridge St",0,1,0,0,0,N/A
2790402,"December 30, 2023","District of Columbia",Washington,"2800 block of Hartford St SE",0,1,0,0,0,N/A
2794373,"December 30, 2023",Indiana,Griffith,"1800 Park W Blvd",1,0,0,0,1,N/A
2791757,"December 30, 2023",Oregon,Portland,"1800 block of NE 104th Ave",0,1,0,0,0,N/A
2795353,"December 30, 2023","South Carolina",Orangeburg,"Fletcher St SW and Enterprise St SW",0,1,0,0,1,N/A
2790719,"December 30, 2023","North Carolina",Greensboro,"E Market St and N English St",1,0,0,0,0,N/A
2790118,"December 30, 2023","North Carolina",Greensboro,"200 block of N Swing Rd",1,0,0,0,0,N/A
2790760,"December 30, 2023",Minnesota,Minneapolis,"2nd Ave N and N 3rd St",0,2,0,0,0,N/A
2790070,"December 30, 2023",California,"Los Angeles","5817 S Crenshaw Blvd",1,0,0,0,1,N/A
2825052,"December 30, 2023","South Carolina",Leesville,"Parrish Rd",1,0,0,0,2,N/A
2796465,"December 30, 2023",California,Richmond,"20th St and Nevin Ave",0,2,0,0,0,N/A
2790757,"December 30, 2023",Arizona,Phoenix,"N 7th Ave and W Colter St",0,1,0,0,0,N/A
2796164,"December 30, 2023",Virginia,Fredericksburg,"100 block of Deacon Rd",1,0,0,0,1,N/A
2790425,"December 30, 2023","District of Columbia",Washington,"1500 block of Alabama Ave SE",0,1,0,0,0,N/A
2790523,"December 30, 2023",Minnesota,Minneapolis,"2910 Pillsbury Ave",0,1,0,0,0,N/A
2795331,"December 30, 2023","South Carolina",Charleston,"200 block of Line St",0,1,0,0,1,N/A
2800672,"December 30, 2023",Colorado,Pueblo,"2800 block of Lake Ave",1,0,0,0,0,N/A
2790166,"December 30, 2023",Virginia,Fredericksburg,"100 block of Deacon Rd",1,0,0,0,0,N/A
2791701,"December 30, 2023",Louisiana,Plaquemine,"McArthur St",0,1,0,0,0,N/A
2790601,"December 30, 2023",Louisiana,Shreveport,"5720 S Lakeshore Dr",0,1,0,0,0,N/A
2790274,"December 30, 2023",Maryland,Baltimore,"2000 block of W Pratt St",0,0,0,1,0,N/A
3024642,"December 30, 2023","New Mexico","Crownpoint (Standing Rock)",N/A,1,0,0,0,1,N/A
2790723,"December 30, 2023",Texas,"San Antonio","S Zarzamora St and W Theo Ave",0,1,0,0,0,N/A
2790715,"December 30, 2023",Arizona,Phoenix,"N 39th Ave and W Keim Dr",0,1,0,0,0,N/A
2791588,"December 30, 2023",Florida,Tampa,"7408 E Hillsborough Ave",0,1,0,0,0,N/A
2790330,"December 30, 2023",Minnesota,Minneapolis,"601 University Ave SE",1,0,0,0,1,N/A
2790388,"December 30, 2023","District of Columbia",Washington,"500 block of Florida Ave SE",1,0,0,0,0,N/A
2790689,"December 30, 2023",Georgia,Atlanta,"186 Andrew Young International Blvd",0,2,0,0,0,N/A
2790439,"December 30, 2023",Mississippi,Forest,"3000 block of Old Jackson Rd",1,0,0,0,1,N/A
2790683,"December 30, 2023",Colorado,"Colorado Springs","Delta Dr and Sonoma Dr",0,1,0,0,0,N/A
2793413,"December 30, 2023",Iowa,Vinton,"2484 63rd St",0,1,1,0,0,N/A
2790024,"December 30, 2023",Illinois,Grayslake,"1775 E Belvidere Rd",1,0,0,0,0,N/A
2790879,"December 30, 2023",Louisiana,"New Orleans","7000 block of Crowder Blvd",0,1,0,0,0,N/A
2790610,"December 30, 2023",Illinois,Chicago,"13200 block of S Buffalo Ave",0,1,0,0,1,N/A
2790567,"December 30, 2023",Florida,Miami,"SW 142nd Ave and SW 39th St",0,1,0,0,1,N/A
2790556,"December 30, 2023",Illinois,Chicago,"2800 block of W Lexington St",1,0,0,0,0,N/A
2789918,"December 30, 2023",Texas,Houston,"Napoleon St",0,1,0,0,0,N/A
2793421,"December 30, 2023",Louisiana,"New Orleans","4800 block of Corinne St",0,1,0,0,0,N/A
2790660,"December 30, 2023",Oklahoma,"Oklahoma City","S Blackwelder Ave and SW 70th St",0,1,0,0,0,N/A
2791969,"December 30, 2023",California,"San Jose","Calle de Guadalupe and Plaza de Guadalupe",1,0,0,0,1,N/A
2790651,"December 30, 2023",Missouri,"Kansas City","300 block of N Bellaire Ave",0,1,0,0,0,N/A
2790152,"December 30, 2023",California,"Los Angeles","1536 W 94th St",0,1,0,0,0,N/A
2791476,"December 30, 2023",Illinois,Brownstown,"2400 block of N 2150 St",0,0,0,1,0,N/A
2790051,"December 30, 2023",Connecticut,Dayville,"599 Hartford Pike",0,0,0,1,1,N/A
2790624,"December 30, 2023",Texas,"San Antonio","6000 block of Ray Ellison Blvd",1,0,0,0,0,N/A
2791956,"December 30, 2023",California,"Lytle Creek","1900 block of Lytle Creek Rd",1,0,0,0,1,N/A
2790081,"December 30, 2023",Colorado,Denver,"4888 W Colfax Ave",2,2,0,0,1,N/A
2791952,"December 30, 2023",California,Salinas,"Garner Ave and Atlantic St",1,0,0,0,1,N/A
